A,E,Ecum,G_eff,K,L,Lambda,Omega,U,Y_damaged,Y_gross,Y_net,abatecost,dEcum_dt,dK_dt,delta_T,delta_c,f,mu,sigma,t,theta1,y,y_eff
1.3634251141321778,-0.0010472700533195542,0.0023652660615882653,0.3934259209673007,69194608180.03653,8814563631.19375,0.050596761030833715,1.1188967084202528e-38,-1.0397648526800414,22299418481.929398,22299418481.929398,21171140133.872658,1128278348.0567384,-0.0010472700533195542,774497617.7727051,2.3652660615882653e-18,0.10119352206166742,0.5,1.1746054204130252,2.6897221879733724e-13,31.0,0.036672347811214465,2.023870441233348,1.8958688298927835
1.3771277643359572,-0.001121813406081262,0.0013179960082687111,0.3934259209673007,69969105797.80923,8835302925.777973,0.051240067561542355,3.4742269556245133e-39,-1.033660995501158,22636075942.17781,22636075942.17781,21476201881.57242,1159874060.6053946,-0.001121813406081262,796785086.4240217,1.3179960082687112e-18,0.10248013512308472,0.5,1.1879740711433917,2.6364621202152426e-13,32.0,0.03630745185368455,2.0496027024616943,1.918325476276123
1.3909681284637803,-0.0011967727851117083,0.00019618260218744903,0.3934259209673007,70765890884.23326,8855726486.84515,0.051895190415606515,7.697522680207777e-41,-1.0275654547917976,22978480615.167953,22978480615.167953,21786007988.182487,1192472626.985464,-0.0011967727851117083,818907053.4248343,1.9618260218744905e-19,0.10379038083121302,0.5,1.20153698144225,2.5842566724584957e-13,33.0,0.03594618667159631,2.0758076166242603,1.9411520772106574
1.4049475905635938,-0.001272147079346575,-0.0010005901829242593,0.3934259209673007,71584797937.6581,8875837478.037691,0.05256220286851586,2.0023614283288055e-39,-1.021480232944691,23326678507.42966,23326678507.42966,22100576899.473495,1226101607.9561665,-0.001272147079346575,840875483.0117941,-1.0005901829242593e-18,0.1051244057370317,0.5,1.2152953573089644,2.5330849618279477e-13,34.0,0.03558851613813049,2.102488114740634,1.9643488562210831
1.4190675485932573,-0.001347934796158007,-0.0022727372622708343,0.3934259209673007,72425673420.66989,8895639090.01637,0.053241181011222855,1.0330669326628656e-38,-1.0154072348745573,23680716550.103565,23680716550.103565,22419927233.78404,1260789316.3195248,-0.001347934796158007,862701775.7233133,-2.2727372622708344e-18,0.10648236202244571,0.5,1.2292504400796926,2.482926518957047e-13,35.0,0.03523440448593567,2.129647240448914,1.9879160726754241
1.4333294145603401,-0.0014241340861296174,-0.0036206720584288413,0.3934259209673007,73288375196.3932,8915134537.875599,0.05393220377280934,2.62185323093747e-38,-1.0093482708598245,24040642627.93586,24040642627.93586,22744077790.896736,1296564837.0391235,-0.0014241340861296174,884396798.3596869,-3.620672058428842e-18,0.10786440754561868,0.5,1.2434035069890208,2.433761279799858e-13,36.0,0.03488381630355155,2.1572881509123736,2.011854020722782
1.4477346146633245,-0.0015007427669656251,-0.005044806144558459,0.3934259209673007,74172771994.75288,8934327058.628105,0.054635352939685154,5.090013807234958e-38,-1.0033050594489947,24406505606.33629,24406505606.33629,23073047558.5097,1333458047.8265874,-0.0015007427669656251,905970911.9642963,-5.044806144558459e-18,0.10927070587937034,0.5,1.2577558716629378,2.385569577605172e-13,37.0,0.03453671653186773,2.1854141175874067,2.0361630280452085
1.4622845894342245,-0.0015777583465155318,-0.006545548911524084,0.3934259209673007,75078742906.71718,8953219908.759155,0.05535071317158175,8.568842110630825e-38,-0.9972792304126231,24778355356.591164,24778355356.591164,23406855716.38496,1371499640.2062037,-0.0015777583465155318,927433997.9411325,-6.5455489115240844e-18,0.11070142634316349,0.5,1.272308884548072,2.3383321350495463e-13,38.0,0.03419307046061779,2.21402852686327,2.060843454433134
1.4769807938826427,-0.0016551780449014413,-0.008123307258039615,0.3934259209673007,76006176904.65831,8971816361.850313,0.056078372014593286,1.3197624161703823e-37,-0.9912723277236865,25156242779.322834,25156242779.322834,23745521638.25454,1410721141.0682921,-0.0016551780449014413,948795482.4179926,-8.123307258039616e-18,0.11215674402918657,0.5,1.2870639332819498,2.2920300565261176e-13,39.0,0.03385284372490823,2.2431348805837312,2.085895690193375
1.4918246976412703,-0.0017329988157403096,-0.009778485302941058,0.3934259209673007,76954972387.07631,8990119706.27267,0.05681841991150655,1.9123754963966858e-37,-0.9852858125507973,25540219826.285526,25540219826.285526,24089064891.56345,1451154934.722076,-0.0017329988157403096,970064358.9588742,-9.778485302941058e-18,0.11363683982301312,0.5,1.3020224430088598,2.2466448205861079e-13,40.0,0.03351600230178197,2.2727367964602623,2.111320154398248
1.5068177851128537,-0.001811217366458097,-0.011511484118681367,0.3934259209673007,77925036746.03519,9008133242.949333,0.057570950209649294,2.6502853322930667e-37,-0.9793210662503434,25930339520.586136,25930339520.586136,24437505235.12717,1492834285.4589658,-0.001811217366458097,991249209.7236748,-1.1511484118681368e-17,0.1151419004192986,0.5,1.317185876645708,2.2021582725299963e-13,41.0,0.03318251250681597,2.302838008385972,2.1371172929838758
1.5219615556186337,-0.0018898301776969935,-0.013322701485139464,0.3934259209673007,78916285955.75887,9025860283.18691,0.058336059166474545,3.5498874972427465e-37,-0.9733793933451528,26326655975.41621,26326655975.41621,24790862614.778908,1535793360.6373007,-0.0018898301776969935,1012358225.1678386,-1.3322701485139465e-17,0.11667211833294909,0.5,1.33255573510205,2.1585526171453985e-13,42.0,0.03285234099075284,2.3334423666589816,2.163287576705261
1.5372575235482815,-0.0019688335218207183,-0.015212531662836457,0.3934259209673007,79928644180.9267,9043304146.575586,0.05911384595308654,4.628422391856036e-37,-0.9674620244787189,26729224411.3789,26729224411.3789,25149157157.079166,1580067254.2997324,-0.0019688335218207183,1033399222.3694983,-1.521253166283646e-17,0.11822769190617309,0.5,1.348133557458284,2.1158104115887442e-13,43.0,0.032525454736165825,2.3645538381234616,2.1898314989551992
1.552707218511336,-0.0020482234805261853,-0.017181365184657175,0.3934259209673007,80962043403.29619,9060468158.957354,0.059904412655901754,5.903986192170996e-37,-0.9615701193353569,27138101172.49198,27138101172.49198,25512409161.15741,1625692011.334571,-0.0020482234805261853,1054379662.0666728,-1.7181365184657177e-17,0.11980882531180351,0.5,1.363920921105769,2.0739145584079068e-13,44.0,0.03220182105415707,2.39617650623607,2.216749573453642
1.568312185490169,-0.0021279959615728107,-0.019229588665183362,0.3934259209673007,82016423065.36285,9077355650.461832,0.06070786427662576,7.395541604642971e-37,-0.9557047695179095,27553343740.94494,27553343740.94494,25880639088.752438,1672704652.192501,-0.0021279959615728107,1075306664.4823456,-1.9229588665183364e-17,0.12141572855325151,0.5,1.3799194418524254,2.0328482987029955e-13,45.0,0.03188140758108867,2.4283145710650302,2.2440423318135694
1.5840739849944818,-0.002208146714643332,-0.021357584626756174,0.3934259209673007,83091729729.8452,9093969953.609081,0.061524308730715994,9.122928421781035e-37,-0.9498670013757649,27975010750.684998,27975010750.684998,26253867552.514755,1721143198.1702428,-0.002208146714643332,1096187024.0106916,-2.1357584626756176e-17,0.12304861746143197,0.5,1.3961307739971645,1.9925952054225707e-13,46.0,0.0315641822753463,2.4609723492286393,2.2717103209890164
1.5999941932173602,-0.0022886713463521773,-0.023565731341399505,0.3934259209673007,84187916753.8559,9110314401.478703,0.06235385684448691,1.110687387310038e-36,-0.9440577787770286,28403161999.90352,28403161999.90352,26632115302.630764,1771046697.2727544,-0.0022886713463521773,1117027222.8333588,-2.3565731341399506e-17,0.12470771368897382,0.5,1.4125566103762752,1.9531391767926053e-13,47.0,0.03125011341413504,2.4941542737794764,2.299754100610338
1.6160744021928934,-0.002369565334419433,-0.025854402687751684,0.3934259209673007,85304943976.68925,9126392325.9445,0.0631966223510043,1.3369002766808432e-36,-0.9382780058196476,28837858462.490906,28837858462.490906,27015403211.825153,1822455250.6657515,-0.002369565334419433,1137833443.5305681,-2.5854402687751687e-17,0.12639324470200858,0.5,1.4291986823847083,1.9144644298755604e-13,48.0,0.030939169590307042,2.5278648940401713,2.3281742402113985
1.632316219955379,-0.002450824041029954,-0.028223968022171118,0.3934259209673007,86442777420.21982,9142207055.973858,0.06405272188490298,1.5931847418330756e-36,-0.932528529477187,29279162298.52456,29279162298.52456,27403752258.794228,1875410039.7303302,-0.002450824041029954,1158611580.7478552,-2.822396802217112e-17,0.12810544376980598,0.5,1.4460587599749741,1.8765554942569978e-13,49.0,0.030631319709220808,2.5621088753961194,2.356971316352883
1.6487212707001282,-0.0025324427253986346,-0.030674792063201072,0.3934259209673007,87601389000.96767,9157761915.991026,0.06492227497625246,1.881885736241247e-36,-0.9268101421757698,29727136863.851097,29727136863.851097,27797183510.119465,1929953353.731632,-0.0025324427253986346,1179367251.9755096,-3.0674792063201074e-17,0.1298445499525049,0.5,1.4631386516362015,1.8393972058572117e-13,50.0,0.030326532985631673,2.5968909990500983,2.3861459096454913
1.6652911949458864,-0.002614416555563767,-0.03320723478859971,0.3934259209673007,88780756252.94318,9173060224.303326,0.0658054040435833,2.2054408846103738e-36,-0.9211235842994205,30181846718.82015,30181846718.82015,28195718100.70669,1986128618.1134589,-0.002614416555563767,1200105807.4941797,-3.320723478859971e-17,0.13161080808716658,0.5,1.4804402043556888,1.8029747008653914e-13,51.0,0.030024778940613298,2.6322161617433313,2.415698601676369
1.6820276496988864,-0.0026967406194314744,-0.03582165134416348,0.3934259209673007,89980862060.43736,9188105291.589373,0.06670223438617838,2.5663814100456184e-36,-0.915469546621722,30643357636.22401,30643357636.22401,28599377212.793106,2043980423.430903,-0.0026967406194314744,1220832339.5367527,-3.582165134416348e-17,0.13340446877235676,0.5,1.497965303565125,1.7672734097939007e-13,52.0,0.02972602739850972,2.6680893754471353,2.4456299718417016
